season,team,player,teammate_out,n_with,n_without,usg_in,usg_out,usg_jump,z
2025-26,MIL,Cam Thomas,Giannis Antetokounmpo,5,11,21.39,33.07,11.68,2.69
2024-25,ORL,Jalen Suggs,Franz Wagner,25,10,24.67,34.75,10.08,5.49
2025-26,MIL,Gary Trent Jr.,Myles Turner,57,8,16.46,26.06,9.6,2.0
2025-26,LAL,Austin Reaves,Luka Dončić,41,10,25.12,34.18,9.06,5.96
2025-26,DEN,Peyton Watson,Nikola Jokić,39,15,17.96,26.9,8.95,5.8
2025-26,BOS,Payton Pritchard,Jaylen Brown,76,10,20.12,29.02,8.9,6.22
2025-26,DEN,Peyton Watson,Jonas Valančiūnas,40,14,18.41,26.99,8.58,5.46
2025-26,GSW,De'Anthony Melton,Kristaps Porziņģis,12,9,22.7,31.18,8.48,2.64
2024-25,BKN,Dennis Schröder,Noah Clowney,15,8,21.28,29.64,8.37,4.08
2025-26,SAS,De'Aaron Fox,Stephon Castle,79,14,23.14,31.48,8.34,5.52
2025-26,MIL,Ryan Rollins,Kyle Kuzma,65,9,23.25,31.58,8.33,3.36
2024-25,OKC,Aaron Wiggins,Jalen Williams,87,11,19.04,27.29,8.26,3.12
2023-24,PHI,Kelly Oubre Jr.,Tyrese Maxey,63,11,20.42,28.67,8.25,4.91
2023-24,MEM,Jaren Jackson Jr.,Desmond Bane,41,22,27.53,35.76,8.23,6.34
2023-24,IND,Andrew Nembhard,Tyrese Haliburton,71,11,15.0,22.86,7.87,3.93
2023-24,UTA,Keyonte George,Jordan Clarkson,53,12,20.76,28.58,7.82,6.87
2023-24,DET,Jaden Ivey,Cade Cunningham,57,13,23.09,30.88,7.79,6.25
2024-25,DAL,Naji Marshall,Luka Dončić,17,8,16.62,24.33,7.71,4.03
2024-25,CLE,Ty Jerome,Darius Garland,69,10,22.67,30.33,7.66,3.95
2023-24,PHI,Cameron Payne,Joel Embiid,10,26,16.34,23.95,7.61,3.21
2024-25,SAC,De'Aaron Fox,Malik Monk,37,8,27.5,34.99,7.49,2.19
2023-24,PHX,Kevin Durant,Devin Booker,65,14,27.43,34.88,7.46,4.02
2025-26,UTA,Brice Sensabaugh,Lauri Markkanen,40,14,20.54,27.93,7.39,3.76
2024-25,DEN,Russell Westbrook,Nikola Jokić,76,12,22.85,30.18,7.32,3.81
2023-24,MEM,GG Jackson,Jaren Jackson Jr.,32,10,21.28,28.33,7.05,2.86
